,GDP,CPI,Unemployment,FedRate,Employment,IndustrialProduction,GDP_Normalized,CPI_Normalized,Unemployment_Normalized,FedRate_Normalized,Employment_Normalized,IndustrialProduction_Normalized
2015-01-01,18063.529,,,,,,0.0,,,,,
2015-03-01,18063.529,235.976,5.4,0.11,140923.0,101.7869,0.0,0.0,0.17543859649122812,0.011363636363636362,0.3646245745641453,0.880711130332705
2015-04-01,18279.784,236.222,5.4,0.12,141196.0,101.2255,0.018552917875402513,0.0029599326194201573,0.17543859649122812,0.013257575757575756,0.37410571646870877,0.8518066582228945
2015-05-01,18279.784,237.001,5.6,0.12,141538.0,100.7675,0.018552917875402513,0.012333052580916923,0.19298245614035084,0.013257575757575756,0.38598319094255745,0.8282258811899535
2015-06-01,18279.784,237.657,5.3,0.13,141709.0,100.4588,0.018552917875402513,0.020226206232703783,0.16666666666666666,0.015151515151515152,0.39192192817948185,0.8123320255784493
2015-07-01,18401.626,238.034,5.2,0.13,141991.0,101.0893,0.029005969225774954,0.024762363133196876,0.15789473684210528,0.015151515151515152,0.40171563520177817,0.8447942088082949
2015-08-01,18401.626,238.033,5.1,0.14,142125.0,100.9165,0.029005969225774954,0.024750330886776414,0.14912280701754382,0.017045454545454548,0.4063693825102452,0.8358973566875698
2015-09-01,18401.626,237.498,5.0,0.14,142275.0,100.633,0.029005969225774954,0.018313079051858874,0.14035087719298245,0.017045454545454548,0.4115788011391262,0.8213009586770046
2015-10-01,18435.137,237.733,5.0,0.12,142579.0,100.1563,0.031880940120887595,0.021140656960654612,0.14035087719298245,0.013257575757575756,0.42213655622699175,0.7967573857259067
2015-11-01,18435.137,238.017,5.1,0.12,142808.0,99.4366,0.031880940120887595,0.024557814944050013,0.14912280701754382,0.013257575757575756,0.43008960200041674,0.7597026144800383
2015-12-01,18435.137,237.761,5.0,0.24,143077.0,98.9471,0.031880940120887595,0.021477559860425897,0.14035087719298245,0.03598484848484848,0.4394318260748767,0.7345000154459238
2016-01-01,18525.933,237.652,4.8,0.34,143210.0,99.4391,0.03967049750182713,0.02016604500060146,0.12280701754385964,0.05492424242424243,0.4440508439258179,0.7598313305118775
2016-02-01,18525.933,237.336,4.9,0.38,143407.0,98.9232,0.03967049750182713,0.01636385513175326,0.1315789473684211,0.0625,0.45089254705841497,0.7332694901815405
2016-03-01,18525.933,238.08,5.0,0.36,143662.0,98.1635,0.03967049750182713,0.02531584646853583,0.14035087719298245,0.05871212121212121,0.4597485587275127,0.6941552624262454
2016-04-01,18711.702,238.992,5.1,0.37,143855.0,98.4775,0.05560796484730185,0.03628925520394646,0.14912280701754382,0.06060606060606061,0.46645134403000627,0.7103219960252489
2016-05-01,18711.702,239.557,4.8,0.37,143900.0,98.2549,0.05560796484730185,0.043087474431476216,0.12280701754385964,0.06060606060606061,0.46801416961867054,0.6988611205502868
2016-06-01,18711.702,240.222,4.9,0.38,144146.0,98.7315,0.05560796484730185,0.05108891830104691,0.1315789473684211,0.0625,0.47655761617003545,0.7233995448601109
2016-07-01,18892.639,240.101,4.8,0.39,144520.0,98.8452,0.07113088594333039,0.04963301648417759,0.12280701754385964,0.06439393939393939,0.4895464332847121,0.7292535499881581
2016-08-01,18892.639,240.545,4.9,0.4,144662.0,98.7427,0.07113088594333039,0.05497533389483802,0.1315789473684211,0.06628787878787878,0.4944780162533861,0.7239761926827507
2016-09-01,18892.639,241.176,5.0,0.4,144967.0,98.6552,0.07113088594333039,0.06256768138611464,0.14035087719298245,0.06628787878787878,0.5050705007987776,0.7194711315683785
2016-10-01,19089.379,241.741,4.9,0.4,145066.0,98.7237,0.08800957574382844,0.06936590061364474,0.1315789473684211,0.06628787878787878,0.508508717093839,0.7229979508407725
2016-11-01,19089.379,242.026,4.7,0.41,145183.0,98.3443,0.08800957574382844,0.0727950908434606,0.11403508771929827,0.06818181818181818,0.5125720636243661,0.7034640058488564
2016-12-01,19089.379,242.637,4.7,0.54,145408.0,99.0406,0.08800957574382844,0.08014679340632896,0.11403508771929827,0.0928030303030303,0.5203861915676877,0.7393139950367094
2017-01-01,19280.084,243.618,4.7,0.65,145628.0,98.8158,0.10437051169179996,0.09195042714474785,0.11403508771929827,0.11363636363636363,0.5280266722233798,0.7277398494537286
2017-02-01,19280.084,244.006,4.6,0.66,145848.0,98.4356,0.10437051169179996,0.09661893875586572,0.10526315789473682,0.11553030303030302,0.5356671528790721,0.7081647153316234
2017-03-01,19280.084,243.892,4.4,0.79,145969.0,99.0492,0.10437051169179996,0.0952472626639393,0.08771929824561407,0.14015151515151514,0.5398694172397027,0.7397567781862363
2017-04-01,19438.643,244.193,4.4,0.9,146174.0,100.0416,0.11797358262845324,0.09886896883648191,0.08771929824561407,0.16098484848484848,0.5469889560325067,0.7908518941851244
2017-05-01,19438.643,244.004,4.4,0.91,146380.0,100.128,0.11797358262845324,0.0965948742630248,0.08771929824561407,0.16287878787878787,0.5541432242828367,0.7953003202454869
2017-06-01,19438.643,244.163,4.3,1.04,146583.0,100.337,0.11797358262845324,0.0985080014438697,0.07894736842105263,0.1875,0.561193304160589,0.806060980507244
2017-07-01,19692.595,244.243,4.3,1.15,146772.0,100.0865,0.13976059610927088,0.09947058115750204,0.07894736842105263,0.2083333333333333,0.5677571716329791,0.7931636341169562
2017-08-01,19692.595,245.183,4.4,1.16,146919.0,99.6323,0.13976059610927088,0.1107808927926843,0.08771929824561407,0.2102272727272727,0.5728624018892825,0.7697785054524108
2017-09-01,19692.595,246.435,4.3,1.15,147007.0,99.7482,0.13976059610927088,0.1258452653110336,0.07894736842105263,0.2083333333333333,0.5759185941515593,0.7757457806884759
2017-10-01,20037.088,246.626,4.2,1.15,147150.0,100.9893,0.16931529004768145,0.12814342437733128,0.07017543859649125,0.2083333333333333,0.5808849065777593,0.8396455675347273
2017-11-01,20037.088,247.284,4.2,1.16,147373.0,101.2493,0.16931529004768145,0.13606064252195874,0.07017543859649125,0.2102272727272727,0.588629575606029,0.8530320348460041
2017-12-01,20037.088,247.805,4.1,1.3,147523.0,101.4871,0.16931529004768145,0.14232944290699082,0.0614035087719298,0.23674242424242423,0.59383899423491,0.8652755037945482
2018-01-01,20328.553,248.859,4.0,1.41,147660.0,101.4852,0.19432061343236237,0.15501143063409947,0.052631578947368425,0.2575757575757575,0.5985969299159547,0.8651776796103509
2018-02-01,20328.553,249.529,4.1,1.42,148054.0,101.7319,0.19432061343236237,0.1630730357357718,0.0614035087719298,0.25946969696969696,0.6122803361811489,0.8778793776322423
2018-03-01,20328.553,249.577,4.0,1.51,148280.0,102.1943,0.19432061343236237,0.16365058356395135,0.052631578947368425,0.2765151515151515,0.6201291935819963,0.9016866948812204
2018-04-01,20580.912,250.227,4.0,1.69,148422.0,103.3551,0.21597096048615852,0.17147154373721576,0.052631578947368425,0.31060606060606055,0.6250607765506703,0.9614521227847964
2018-05-01,20580.912,250.792,3.8,1.7,148740.0,102.381,0.21597096048615852,0.17826976296474553,0.035087719298245605,0.31249999999999994,0.636104744043898,0.9112992081389718
2018-06-01,20580.912,251.018,4.0,1.82,148959.0,103.2256,0.21597096048615852,0.18098905065575743,0.052631578947368425,0.3352272727272727,0.6437104952420644,0.9547846323355264
2018-07-01,20798.73,251.214,3.8,1.91,149020.0,103.3561,0.2346579710328945,0.1833473709541571,0.035087719298245605,0.35227272727272724,0.6458289921511426,0.9615036091975323
2018-08-01,20798.73,251.663,3.8,1.91,149279.0,104.0585,0.2346579710328945,0.18874984959691984,0.035087719298245605,0.35227272727272724,0.6548239216503439,0.9976676655030732
2018-09-01,20798.73,252.182,3.7,1.95,149358.0,104.1038,0.2346579710328945,0.19499458548911064,0.026315789473684233,0.3598484848484848,0.6575675487948878,1.0
2018-10-01,20917.867,252.772,3.8,2.19,149526.0,103.9297,0.24487895541208482,0.20209361087715064,0.035087719298245605,0.40530303030303033,0.6634020976592345,0.9910362155427178
2018-11-01,20917.867,252.594,3.8,2.2,149617.0,104.0126,0.24487895541208482,0.19995187101431827,0.035087719298245605,0.4071969696969697,0.6665624782940891,0.9953044391585061
2018-12-01,20917.867,252.767,3.9,2.27,149809.0,104.0451,0.24487895541208482,0.20203344964504866,0.043859649122807015,0.42045454545454547,0.6732305341390568,0.9969777475724155
2019-01-01,21111.6,252.561,4.0,2.4,150059.0,103.3598,0.26149966910081035,0.199554806882445,0.052631578947368425,0.44507575757575757,0.6819128985205251,0.9616941089246548
2019-02-01,21111.6,253.319,3.8,2.4,150065.0,102.8251,0.26149966910081035,0.20867524966911305,0.035087719298245605,0.44507575757575757,0.6821212752656803,0.9341643240348871
