,P_Econ_DGS10
2010/1/1,0.20415511
2010/2/1,0.206966624
2010/3/1,0.209521039
2010/4/1,0.21239177
2010/5/1,0.214477231
2010/6/1,0.216645733
2010/7/1,0.218747497
2010/8/1,0.221015131
2010/9/1,0.223278247
2010/10/1,0.225482338
2010/11/1,0.226048076
2010/12/1,0.226583692
2011/1/1,0.227153824
2011/2/1,0.230055371
2011/3/1,0.232696308
2011/4/1,0.235653328
2011/5/1,0.236907582
2011/6/1,0.238191268
2011/7/1,0.239458597
2011/8/1,0.242262337
2011/9/1,0.245076319
2011/10/1,0.247796704
2011/11/1,0.251113357
2011/12/1,0.254355515
2012/1/1,0.257728546
2012/2/1,0.259816644
2012/3/1,0.261775026
2012/4/1,0.263903615
2012/5/1,0.265592136
2012/6/1,0.267323647
2012/7/1,0.269016936
2012/8/1,0.270566364
2012/9/1,0.272120476
2012/10/1,0.273630108
2012/11/1,0.277184742
2012/12/1,0.280639669
2013/1/1,0.284233693
2013/2/1,0.285549162
2013/3/1,0.286735845
2013/4/1,0.288060135
2013/5/1,0.291579307
2013/6/1,0.295247787
2013/7/1,0.298836368
2013/8/1,0.302739964
2013/9/1,0.306688019
2013/10/1,0.310532653
2013/11/1,0.31061936
2013/12/1,0.310697534
2014/1/1,0.310811574
2014/2/1,0.316324308
2014/3/1,0.321344377
2014/4/1,0.326957851
2014/5/1,0.331790147
2014/6/1,0.336808256
2014/7/1,0.341699708
2014/8/1,0.34360904
2014/9/1,0.345502473
2014/10/1,0.347357083
2014/11/1,0.350052437
2014/12/1,0.352661818
2015/1/1,0.355392912
2015/2/1,0.359340972
2015/3/1,0.36294213
2015/4/1,0.366937624
2015/5/1,0.369099279
2015/6/1,0.37132999
2015/7/1,0.373514187
2015/8/1,0.374126301
2015/9/1,0.374747508
2015/10/1,0.375335746
2015/11/1,0.376997139
2015/12/1,0.378607064
2016/1/1,0.38029488
2016/2/1,0.383768812
2016/3/1,0.387016914
2016/4/1,0.390499764
2016/5/1,0.393794906
2016/6/1,0.39723006
2016/7/1,0.400546898
2016/8/1,0.404235287
2016/9/1,0.407940126
2016/10/1,0.411523063
2016/11/1,0.415104991
2016/12/1,0.418604362
2017/1/1,0.422233674
2017/2/1,0.425330002
2017/3/1,0.428124852
2017/4/1,0.431233274
2017/5/1,0.436003661
2017/6/1,0.440935088
2017/7/1,0.445724682
2017/8/1,0.452391565
2017/9/1,0.459053127
2017/10/1,0.465522625
2017/11/1,0.471188534
2017/12/1,0.47668216
2018/1/1,0.482345108
2018/2/1,0.487368762
2018/3/1,0.491923859
2018/4/1,0.496948026
2018/5/1,0.501116035
2018/6/1,0.505414465
2018/7/1,0.50956823
2018/8/1,0.511899186
2018/9/1,0.514212833
2018/10/1,0.516456123
2018/11/1,0.520241896
2018/12/1,0.523914007
2019/1/1,0.527690167
2019/2/1,0.533378227
2019/3/1,0.53853206
2019/4/1,0.544202331
2019/5/1,0.550267558
2019/6/1,0.556505413
2019/7/1,0.562516282
2019/8/1,0.566693919
2019/9/1,0.570822348
2019/10/1,0.574817548
2019/11/1,0.570883958
2019/12/1,0.567065697
2020/1/1,0.56314341
2020/2/1,0.528095859
2020/3/1,0.495054202
2020/4/1,0.459765826
2020/5/1,0.493092646
2020/6/1,0.527591513
2020/7/1,0.560738644
2020/8/1,0.568106378
2020/9/1,0.575455424
2020/10/1,0.582523469
2020/11/1,0.593650474
2020/12/1,0.604320771
2021/1/1,0.615238461
2021/2/1,0.628587103
2021/3/1,0.640478042
2021/4/1,0.653466324
2021/5/1,0.662978133
2021/6/1,0.672673118
2021/7/1,0.681921391
2021/8/1,0.696224599
2021/9/1,0.71015037
2021/10/1,0.723268945
2021/11/1,0.730075832
2021/12/1,0.736552486
2022/1/1,0.74313141
2022/2/1,0.752022411
2022/3/1,0.759854519
2022/4/1,0.768325254
2022/5/1,0.77460762
2022/6/1,0.780964695
2022/7/1,0.787009824
2022/8/1,0.792980855
2022/9/1,0.798819832
2022/10/1,0.804366453
2022/11/1,0.809613346
2022/12/1,0.81456662
2023/1/1,0.819599244
2023/2/1,0.822977462
2023/3/1,0.826012592
2023/4/1,0.829310164
2023/5/1,0.834790668
2023/6/1,0.840305787
2023/7/1,0.845500228
2023/8/1,0.848826291
2023/9/1,0.852082174
2023/10/1,0.855183206
2023/11/1,0.858332907
2023/12/1,0.861326245
2024/1/1,0.864346679
2024/2/1,0.867934119
2024/3/1,0.871224602
2024/4/1,0.874650683
2024/5/1,0.877625451
2024/6/1,0.880634473
2024/7/1,0.883488299
2024/8/1,0.886235556
2024/9/1,0.888924349
2024/10/1,0.891460584
2024/11/1,0.891462827
2024/12/1,0.891453856
